movieId,title,genres,rating,year
99,Storm Over Asia,"['Drama', 'History', 'War']",7.4,1928
100,Show People,"['Comedy', 'Romance']",8.3,1928
101,"Steamboat Bill, Jr.","['Action', 'Comedy', 'Drama']",8.0,1928
102,Street Angel,['Drama'],7.5,1928
103,Steamboat Willie,"['Animation', 'Family', 'Comedy']",7.7,1928
104,The Wedding March,['Drama'],7.5,1928
105,The Wind,"['Drama', 'Romance', 'Western']",8.4,1928
106,Applause,"['Drama', 'Musical']",7.3,1929
107,Asphalt,['Drama'],7.6,1929
108,The Broadway Melody,"['Musical', 'Romance']",6.4,1929
109,Man with a Movie Camera,['Documentary'],8.4,1929
110,Disraeli,"['Biography', 'Drama', 'History']",6.5,1929
111,The Divine Lady,"['Drama', 'History', 'Romance']",6.3,1929
112,Hallelujah,"['Drama', 'Musical']",7.0,1929
113,In Old Arizona,"['Romance', 'Western']",5.8,1928
114,Queen Kelly,['Drama'],7.9,1929
115,All Quiet on the Western Front,"['Drama', 'War']",8.1,1930
116,The Big House,"['Drama', 'Romance', 'Thriller']",7.2,1930
117,The Big Trail,"['Adventure', 'Western', 'Romance']",7.3,1930
118,David Golder,['Drama'],6.7,1931
119,The Divorcee,"['Romance', 'Drama']",6.9,1930
120,The Devil to Pay!,"['Comedy', 'Romance']",6.7,1930
121,King of Jazz,"['Animation', 'Music']",7.5,1930
122,Little Caesar,"['Crime', 'Drama', 'Film-Noir']",7.4,1931
123,Men Without Women,"['Action', 'Drama']",5.8,1930
124,Morocco,"['Romance', 'Drama']",7.3,1930
125,Romance,"['Drama', 'Romance']",6.0,1930
126,The Blood of a Poet,['Fantasy'],7.5,1932
127,Under the Roofs of Paris,"['Comedy', 'Drama', 'Romance']",7.4,1930
128,Westfront 1918,"['Drama', 'Romance', 'War']",7.5,1930
129,Earth,['Drama'],7.5,1930
130,Nosferatu,['Horror'],8.0,1922
131,Bad Girl,['Drama'],6.7,1931
132,The Champ,"['Drama', 'Family', 'Sport']",7.3,1931
133,Cimarron,"['Drama', 'Western']",6.0,1931
134,City Streets,"['Crime', 'Drama', 'Film-Noir']",7.3,1931
135,City Lights,"['Comedy', 'Drama', 'Romance']",8.6,1931
136,Dishonored,"['Drama', 'Music', 'War']",7.3,1931
137,Dracula,['Horror'],7.6,1931
138,The 3 Penny Opera,"['Comedy', 'Drama', 'Musical']",7.4,1931
139,Frankenstein,"['Horror', 'Sci-Fi']",8.0,1931
140,A Free Soul,"['Crime', 'Drama', 'Romance']",6.7,1931
141,The Guardsman,"['Comedy', 'Drama']",6.7,1931
142,The Front Page,['Comedy'],6.9,1931
143,Comradeship,['Drama'],7.6,1931
144,M,"['Crime', 'Drama', 'Thriller']",8.4,1931
145,Mèdchen in Uniform,"['Drama', 'Romance']",7.8,1931
146,L'opèra de quat'sous,"['Comedy', 'Crime', 'Musical']",7.0,1931
147,The Public Enemy,"['Crime', 'Drama']",7.8,1931
148,The Sin of Madelon Claudet,['Drama'],6.8,1931
149,Skippy,"['Family', 'Drama', 'Comedy']",6.3,1931
150,Tabu: A Story of the South Seas,"['Drama', 'Romance', 'Adventure']",7.7,1931
151,è Nous la Libertè,"['Comedy', 'Musical']",7.7,1931
152,The Blue Light,"['Drama', 'Fantasy', 'Mystery']",7.0,1932
153,Broken Lullaby,['Drama'],7.6,1932
154,The Crowd Roars,"['Drama', 'Action']",6.4,1932
155,Dr. Jekyll and Mr. Hyde,"['Horror', 'Sci-Fi']",7.7,1931
156,A Farewell to Arms,"['Drama', 'Romance', 'War']",6.6,1932
157,Forbidden,"['Drama', 'Romance']",7.0,1932
158,Freaks,"['Drama', 'Horror']",8.0,1932
159,Grand Hotel,"['Drama', 'Romance']",7.6,1932
160,I Am a Fugitive from a Chain Gang,"['Crime', 'Drama', 'Film-Noir']",8.1,1932
161,The Song of Night,"['Comedy', 'Musical']",7.4,1932
162,Love Me Tonight,"['Comedy', 'Musical', 'Romance']",7.8,1932
163,Murders in the Rue Morgue,"['Crime', 'Horror', 'Mystery']",6.4,1932
164,The Mummy,['Horror'],7.2,1932
165,Movie Crazy,"['Comedy', 'Family', 'Romance']",7.3,1932
166,The Music Box,"['Comedy', 'Short']",8.1,1932
167,Payment Deferred,"['Crime', 'Drama']",7.0,1932
168,The Red Head,['Drama'],7.6,1932
169,Red Dust,"['Drama', 'Romance']",7.4,1932
170,Scarface,"['Action', 'Crime', 'Drama']",7.8,1932
171,Shanghai Express,"['Adventure', 'Drama', 'Romance']",7.5,1932
172,Smilin' Through,"['Drama', 'Romance']",7.0,1932
173,Tarzan the Ape Man,"['Action', 'Adventure', 'Romance']",7.2,1932
174,Two Seconds,"['Drama', 'Thriller']",6.9,1932
175,Trouble in Paradise,"['Comedy', 'Crime', 'Romance']",8.2,1932
176,"I Was Born, But...","['Comedy', 'Drama']",8.0,1932
177,Baby Face,"['Drama', 'Romance']",7.7,1933
178,Berkeley Square,"['Fantasy', 'Romance']",6.6,1933
179,Cavalcade,"['Drama', 'Romance', 'War']",6.1,1933
180,Dekigokoro,['Drama'],7.6,1933
181,Duck Soup,"['Comedy', 'Musical', 'War']",8.0,1933
182,Eskimo,['Drama'],7.1,1933
183,Footlight Parade,"['Comedy', 'Musical', 'Romance']",7.8,1933
184,42nd Street,"['Comedy', 'Musical', 'Romance']",7.7,1933
185,Flying Down to Rio,"['Comedy', 'Musical', 'Romance']",6.7,1933
186,The Emperor Jones,['Drama'],6.5,1933
